IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP4,3.200000e-08,3.276800e-05,16,1024,4.531203e-02,3.066220e-03,9.005691e-05,3.647979e-03,1.085684e-03
ADIOS2_BP4,2.560000e-07,2.621440e-04,32,1024,8.830253e-03,2.971451e-02,2.818791e-02,3.146918e-02,9.039955e-04
ADIOS2_BP4,2.048000e-06,2.097152e-03,64,1024,9.478601e-03,2.215507e-01,2.064049e-01,2.334930e-01,8.072916e-03
ADIOS2_BP4,1.638400e-05,1.677722e-02,128,1024,1.268166e-02,1.323872e+00,1.272797e+00,1.388610e+00,3.511166e-02
ADIOS2_BP4,1.310720e-04,1.342177e-01,256,1024,4.050071e-02,3.471124e+00,1.798459e+00,3.748272e+00,5.595822e-01
ADIOS2_BP4,1.048576e-03,1.073742e+00,512,1024,4.112567e-01,2.725540e+00,2.074275e+00,4.224302e+00,6.127874e-01
ADIOS2_BP4,8.388608e-03,8.589935e+00,1024,1024,1.558699e+00,5.518584e+00,4.998985e+00,5.694381e+00,1.985802e-01
