IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP4,1.280000e-07,3.276800e-05,16,256,5.365936e-02,1.994372e-03,1.178309e-04,4.791628e-03,1.808258e-03
ADIOS2_BP4,1.024000e-06,2.621440e-04,32,256,8.978264e-03,3.302404e-02,1.231652e-02,3.920326e-02,8.220825e-03
ADIOS2_BP4,8.192000e-06,2.097152e-03,64,256,9.495494e-03,2.290850e-01,1.279300e-01,2.467849e-01,3.395837e-02
ADIOS2_BP4,6.553600e-05,1.677722e-02,128,256,2.846691e-02,6.959541e-01,2.266899e-01,8.356355e-01,2.016444e-01
ADIOS2_BP4,5.242880e-04,1.342177e-01,256,256,1.116948e-01,1.202080e+00,1.183698e+00,1.267568e+00,2.326431e-02
ADIOS2_BP4,4.194304e-03,1.073742e+00,512,256,8.465565e-01,1.278158e+00,9.908951e-01,1.375375e+00,1.015042e-01
ADIOS2_BP4,3.355443e-02,8.589935e+00,1024,256,5.073629e+00,1.695124e+00,1.662177e+00,1.877790e+00,6.186434e-02
