IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP5,1.280000e-07,3.276800e-05,16,256,1.093709e-01,6.088909e-04,6.760887e-05,1.703471e-03,4.179950e-04
ADIOS2_BP5,1.024000e-06,2.621440e-04,32,256,5.445859e-02,5.819470e-03,2.162287e-03,9.871231e-03,2.215983e-03
ADIOS2_BP5,8.192000e-06,2.097152e-03,64,256,7.752236e-02,3.672225e-02,1.022861e-02,6.494089e-02,1.706893e-02
ADIOS2_BP5,6.553600e-05,1.677722e-02,128,256,7.671501e-02,2.315191e-01,1.496267e-01,3.510815e-01,5.567142e-02
ADIOS2_BP5,5.242880e-04,1.342177e-01,256,256,1.282142e-01,1.244856e+00,4.484062e-01,1.752059e+00,4.367904e-01
ADIOS2_BP5,4.194304e-03,1.073742e+00,512,256,5.504383e-01,1.963112e+00,1.762156e+00,2.419359e+00,1.669420e-01
ADIOS2_BP5,3.355443e-02,8.589935e+00,1024,256,4.253989e+00,2.024811e+00,1.975975e+00,2.364859e+00,1.135517e-01
