IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
PHDF5,1.280000e-07,3.276800e-05,16,256,1.060095e-01,1.465558e-03,3.740341e-05,1.768725e-03,5.017830e-04
PHDF5,1.024000e-06,2.621440e-04,32,256,2.011093e-02,1.312450e-02,1.032328e-02,1.395263e-02,9.902785e-04
PHDF5,8.192000e-06,2.097152e-03,64,256,3.265037e-02,8.256299e-02,1.808944e-02,9.408056e-02,2.166230e-02
PHDF5,6.553600e-05,1.677722e-02,128,256,5.542756e-02,3.979865e-01,8.160440e-02,4.464488e-01,1.056408e-01
PHDF5,5.242880e-04,1.342177e-01,256,256,2.201985e-01,8.676300e-01,1.465063e-01,1.011616e+00,2.520409e-01
PHDF5,4.194304e-03,1.073742e+00,512,256,8.726671e-01,1.261604e+00,1.131045e+00,1.984212e+00,2.424773e-01
PHDF5,3.355443e-02,8.589935e+00,1024,256,7.647336e+00,1.137712e+00,1.052248e+00,1.580569e+00,1.483787e-01
