IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP4,6.400000e-08,3.276800e-05,16,512,5.398864e-02,2.244986e-03,1.003106e-04,4.331010e-03,1.695730e-03
ADIOS2_BP4,5.120000e-07,2.621440e-04,32,512,9.639222e-03,3.105031e-02,1.192283e-02,3.653037e-02,8.217433e-03
ADIOS2_BP4,4.096000e-06,2.097152e-03,64,512,1.139603e-02,2.162215e-01,6.762242e-02,2.519940e-01,5.680691e-02
ADIOS2_BP4,3.276800e-05,1.677722e-02,128,512,2.190764e-02,9.635256e-01,2.422532e-01,1.182693e+00,2.908801e-01
ADIOS2_BP4,2.621440e-04,1.342177e-01,256,512,6.112202e-02,2.201514e+00,1.895657e+00,2.259717e+00,1.044773e-01
ADIOS2_BP4,2.097152e-03,1.073742e+00,512,512,5.034205e-01,2.142223e+00,1.779126e+00,2.232145e+00,1.321910e-01
ADIOS2_BP4,1.677722e-02,8.589935e+00,1024,512,2.734599e+00,3.146033e+00,3.033886e+00,3.519894e+00,1.289125e-01
