IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
PHDF5,3.200000e-08,3.276800e-05,16,1024,2.849962e-01,7.301503e-04,1.335580e-05,9.730209e-04,2.943018e-04
PHDF5,2.560000e-07,2.621440e-04,32,1024,5.264048e-02,6.594533e-03,1.420248e-03,7.718642e-03,2.014476e-03
PHDF5,2.048000e-06,2.097152e-03,64,1024,1.325679e-01,4.457664e-02,2.227946e-03,5.216720e-02,1.436967e-02
PHDF5,1.638400e-05,1.677722e-02,128,1024,1.046119e-01,2.895269e-01,2.943830e-02,3.416936e-01,8.867708e-02
PHDF5,1.310720e-04,1.342177e-01,256,1024,5.395355e-01,8.543467e-01,3.260850e-02,9.856152e-01,2.760573e-01
PHDF5,1.048576e-03,1.073742e+00,512,1024,1.098421e+00,1.010637e+00,5.838331e-01,1.090996e+00,1.464524e-01
PHDF5,8.388608e-03,8.589935e+00,1024,1024,1.915098e+01,4.492668e-01,4.324742e-01,5.048950e-01,1.899532e-02
