IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP4,1.600000e-08,3.276800e-05,16,2048,6.486244e-02,2.352047e-03,6.273018e-05,3.034702e-03,9.756284e-04
ADIOS2_BP4,1.280000e-07,2.621440e-04,32,2048,1.167416e-02,2.287504e-02,1.517093e-02,2.480940e-02,2.612036e-03
ADIOS2_BP4,1.024000e-06,2.097152e-03,64,2048,1.135198e-02,1.857103e-01,1.504962e-01,1.942009e-01,1.237576e-02
ADIOS2_BP4,8.192000e-06,1.677722e-02,128,2048,1.307145e-02,1.284348e+00,1.217448e+00,1.332499e+00,3.270279e-02
ADIOS2_BP4,6.553600e-05,1.342177e-01,256,2048,2.492589e-02,5.388341e+00,5.150828e+00,5.621312e+00,1.402901e-01
ADIOS2_BP4,5.242880e-04,1.073742e+00,512,2048,1.990005e-01,6.291561e+00,2.762483e+00,9.157132e+00,2.266755e+00
ADIOS2_BP4,4.194304e-03,8.589935e+00,1024,2048,9.310430e-01,9.603956e+00,5.249800e+00,1.041509e+01,1.492225e+00
