IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_HDF5,6.400000e-08,3.276800e-05,16,512,6.822049e-01,9.921724e-05,8.001936e-06,1.234761e-04,3.215759e-05
ADIOS2_HDF5,5.120000e-07,2.621440e-04,32,512,2.098679e-01,1.436478e-03,6.266861e-04,2.279147e-03,4.876073e-04
ADIOS2_HDF5,4.096000e-06,2.097152e-03,64,512,5.486835e-01,4.001313e-03,2.625789e-03,6.040548e-03,8.794527e-04
ADIOS2_HDF5,3.276800e-05,1.677722e-02,128,512,6.644907e-01,2.565255e-02,1.996895e-02,3.025116e-02,3.173465e-03
ADIOS2_HDF5,2.621440e-04,1.342177e-01,256,512,1.488125e+00,9.489160e-02,5.331004e-02,1.283025e-01,1.926285e-02
ADIOS2_HDF5,2.097152e-03,1.073742e+00,512,512,3.815242e+00,2.836713e-01,2.410732e-01,3.114686e-01,2.443541e-02
ADIOS2_HDF5,1.677722e-02,8.589935e+00,1024,512,1.484923e+01,5.791054e-01,5.436081e-01,6.018179e-01,1.892064e-02
