IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
PHDF5,1.600000e-08,3.276800e-05,16,2048,4.518739e-01,5.513559e-04,8.124641e-06,6.519068e-04,1.866415e-04
PHDF5,1.280000e-07,2.621440e-04,32,2048,7.049969e-02,4.284855e-03,1.475487e-03,4.956447e-03,1.108052e-03
PHDF5,1.024000e-06,2.097152e-03,64,2048,2.750733e-01,2.698360e-02,1.023803e-03,3.360143e-02,1.067563e-02
PHDF5,8.192000e-06,1.677722e-02,128,2048,1.252616e-01,2.099808e-01,2.837528e-02,2.499415e-01,6.329648e-02
PHDF5,6.553600e-05,1.342177e-01,256,2048,1.134307e+00,7.806590e-01,1.351109e-02,9.399044e-01,2.672028e-01
PHDF5,5.242880e-04,1.073742e+00,512,2048,3.370744e+00,3.306204e-01,1.855301e-01,3.662091e-01,5.031978e-02
PHDF5,4.194304e-03,8.589935e+00,1024,2048,4.255269e+01,2.020260e-01,1.970679e-01,2.181843e-01,5.848206e-03
