IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP5,3.200000e-08,3.276800e-05,16,1024,1.250838e-01,1.196970e-03,3.793370e-05,1.691828e-03,5.918304e-04
ADIOS2_BP5,2.560000e-07,2.621440e-04,32,1024,2.011240e-02,1.309632e-02,1.131970e-02,1.414301e-02,8.837903e-04
ADIOS2_BP5,2.048000e-06,2.097152e-03,64,1024,2.042494e-02,1.028742e-01,9.405668e-02,1.077791e-01,4.436806e-03
ADIOS2_BP5,1.638400e-05,1.677722e-02,128,1024,2.240646e-02,7.499506e-01,7.007982e-01,8.227887e-01,3.029157e-02
ADIOS2_BP5,1.310720e-04,1.342177e-01,256,1024,3.678870e-02,3.667087e+00,3.032215e+00,4.092022e+00,2.502004e-01
ADIOS2_BP5,1.048576e-03,1.073742e+00,512,1024,1.474546e-01,7.314999e+00,6.600728e+00,8.745522e+00,5.206325e-01
ADIOS2_BP5,8.388608e-03,8.589935e+00,1024,1024,1.169078e+00,7.419402e+00,6.462671e+00,9.429306e+00,7.783578e-01
