IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_HDF5,1.280000e-07,3.276800e-05,16,256,1.712551e-01,2.642515e-04,7.261401e-05,6.698079e-04,1.544225e-04
ADIOS2_HDF5,1.024000e-06,2.621440e-04,32,256,1.389081e-01,2.134741e-03,1.117535e-03,3.658365e-03,7.534852e-04
ADIOS2_HDF5,8.192000e-06,2.097152e-03,64,256,4.272281e-01,5.521070e-03,2.537326e-03,8.895727e-03,1.721055e-03
ADIOS2_HDF5,6.553600e-05,1.677722e-02,128,256,5.791221e-01,2.995465e-02,1.961087e-02,3.617444e-02,4.972616e-03
ADIOS2_HDF5,5.242880e-04,1.342177e-01,256,256,1.501308e+00,9.013868e-02,8.040987e-02,1.092816e-01,8.529893e-03
ADIOS2_HDF5,4.194304e-03,1.073742e+00,512,256,4.518109e+00,2.400803e-01,1.871638e-01,2.840524e-01,2.327479e-02
ADIOS2_HDF5,3.355443e-02,8.589935e+00,1024,256,2.444596e+01,3.521753e-01,3.367041e-01,3.986693e-01,1.736343e-02
