IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
PHDF5,6.400000e-08,3.276800e-05,16,512,1.706029e-01,7.474350e-04,2.535343e-05,1.346501e-03,3.828581e-04
PHDF5,5.120000e-07,2.621440e-04,32,512,4.680575e-02,6.889906e-03,2.203578e-03,9.578834e-03,2.439845e-03
PHDF5,4.096000e-06,2.097152e-03,64,512,1.043563e-01,3.631917e-02,4.065678e-03,6.186064e-02,1.615372e-02
PHDF5,3.276800e-05,1.677722e-02,128,512,1.339267e-01,2.381176e-01,2.484907e-02,3.655371e-01,1.063683e-01
PHDF5,2.621440e-04,1.342177e-01,256,512,3.407779e-01,9.528945e-01,5.943469e-02,1.094511e+00,2.998619e-01
PHDF5,2.097152e-03,1.073742e+00,512,512,9.518731e-01,1.140374e+00,1.030710e+00,1.532424e+00,1.340342e-01
PHDF5,1.677722e-02,8.589935e+00,1024,512,1.531580e+01,5.628053e-01,5.356671e-01,6.668577e-01,3.555353e-02
