IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_HDF5,1.600000e-08,3.276800e-05,16,2048,1.576723e+00,2.689152e-05,9.965853e-06,4.124890e-05,1.146055e-05
ADIOS2_HDF5,1.280000e-07,2.621440e-04,32,2048,2.037753e+00,2.310879e-04,5.379471e-05,5.644805e-04,1.697653e-04
ADIOS2_HDF5,1.024000e-06,2.097152e-03,64,2048,8.040549e-01,3.863955e-03,1.254768e-03,7.830816e-03,2.302625e-03
ADIOS2_HDF5,8.192000e-06,1.677722e-02,128,2048,1.656577e+00,1.220150e-02,4.480246e-03,1.759807e-02,4.144685e-03
ADIOS2_HDF5,6.553600e-05,1.342177e-01,256,2048,1.854353e+00,7.506858e-02,5.923011e-02,1.177802e-01,1.619343e-02
ADIOS2_HDF5,5.242880e-04,1.073742e+00,512,2048,2.731161e+00,4.105347e-01,2.653593e-01,5.293452e-01,7.760619e-02
ADIOS2_HDF5,4.194304e-03,8.589935e+00,1024,2048,6.595290e+00,1.304272e+00,1.205178e+00,1.378707e+00,4.868116e-02
