IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_BP5,6.400000e-08,3.276800e-05,16,512,7.130550e-02,1.194923e-03,7.232486e-05,2.016246e-03,5.860983e-04
ADIOS2_BP5,5.120000e-07,2.621440e-04,32,512,6.958409e-02,5.003864e-03,1.317771e-03,9.363311e-03,2.225794e-03
ADIOS2_BP5,4.096000e-06,2.097152e-03,64,512,6.734194e-02,3.845017e-02,1.502287e-02,6.183293e-02,1.547162e-02
ADIOS2_BP5,3.276800e-05,1.677722e-02,128,512,7.076403e-02,3.079206e-01,8.192082e-02,5.183078e-01,1.295808e-01
ADIOS2_BP5,2.621440e-04,1.342177e-01,256,512,1.169171e-01,1.328087e+00,5.894554e-01,2.243282e+00,4.816472e-01
ADIOS2_BP5,2.097152e-03,1.073742e+00,512,512,3.071205e-01,3.540029e+00,3.029979e+00,4.139475e+00,3.912411e-01
ADIOS2_BP5,1.677722e-02,8.589935e+00,1024,512,2.172194e+00,3.972254e+00,3.546859e+00,4.722386e+00,2.784189e-01
