IOLayer,LocalSize(GB),GlobalSize(GB),Global_N,MPIRanks,AvgTime(s),AvgIORate(GB/s),MinIORate(GB/s),MaxIORate(GB/s),StdError
ADIOS2_HDF5,3.200000e-08,3.276800e-05,16,1024,9.993024e-01,3.728270e-05,1.830731e-05,4.913662e-05,1.099795e-05
ADIOS2_HDF5,2.560000e-07,2.621440e-04,32,1024,6.798846e-01,4.564442e-04,2.237221e-04,1.112941e-03,2.352422e-04
ADIOS2_HDF5,2.048000e-06,2.097152e-03,64,1024,5.262092e-01,4.167530e-03,3.071410e-03,6.148152e-03,9.309660e-04
ADIOS2_HDF5,1.638400e-05,1.677722e-02,128,1024,6.963122e-01,2.491198e-02,1.924987e-02,3.523409e-02,4.715802e-03
ADIOS2_HDF5,1.310720e-04,1.342177e-01,256,1024,1.193442e+00,1.162154e-01,8.461668e-02,1.564140e-01,2.072881e-02
ADIOS2_HDF5,1.048576e-03,1.073742e+00,512,1024,3.127636e+00,3.459841e-01,3.038518e-01,3.897593e-01,3.054139e-02
ADIOS2_HDF5,8.388608e-03,8.589935e+00,1024,1024,8.456535e+00,1.018862e+00,9.362992e-01,1.112017e+00,5.609989e-02
